,Access Number,Azimuth,Elevation,Range,Time,C/No,Eb/No,BER,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Modulation
0,14,170.2867399331911,0.00028093792600221467,2932.0951127952594,23 Jun 2025 10:32:56.289405846,96.89687189632511,93.8865719396853,1e-30,96.19610472533579,187.89837169208144,0.0,0.0,66.19610472533577,30.0,-91.70226696674567,-91.70226696674567,3860.081134284221,869.2110822378985,-5782.613043911199,6.2871264701377445,-0.4624996451393477,4.128079901794975,7.535443507111199,-55.64281319554733,-57.11016577758416,643.1380108858057,BPSK
1,14,170.28929729838887,0.0442388886571875,2927.1779737638767,23 Jun 2025 10:32:57.000000000,96.91145040678435,93.90115045014454,1e-30,96.19610472533579,187.8837931816222,0.0,0.0,66.19610472533577,30.0,-91.68768845628642,-91.68768845628642,3864.5475087830937,868.8821797948347,-5779.678021525319,6.283956593686191,-0.46321289732257986,4.132837469200447,7.5354510287311465,-55.60042357173319,-57.131835457040985,643.1227835384516,BPSK
2,14,170.29292615915455,0.10622430128259584,2920.2582050140463,23 Jun 2025 10:32:58.000000000,96.9320079208473,93.92170796420749,1e-30,96.19610472533579,187.86323566755925,0.0,0.0,66.19610472533577,30.0,-91.66713094222348,-91.66713094222348,3870.829099629692,868.4184636707572,-5775.5419192019335,6.279489478369228,-0.4642161898284528,4.139528610456127,7.535461624654028,-55.540764304838355,-57.16226255963251,643.1013353364018,BPSK
3,14,170.29659016682373,0.16835628831227717,2913.338431477245,23 Jun 2025 10:32:59.000000000,96.95261421956708,93.94231426292727,1e-30,96.19610472533579,187.84262936883948,0.0,0.0,66.19610472533577,30.0,-91.6465246435037,-91.6465246435037,3877.106219775569,867.9537445397139,-5771.399128274157,6.275015079682101,-0.46521895305013644,4.146215003474442,7.535472233347516,-55.48109864292296,-57.19261043617293,643.0798648027177,BPSK
4,14,170.30028956843051,0.23063589427729564,2906.4186615276967,23 Jun 2025 10:33:00.000000000,96.97326950997399,93.96296955333418,1e-30,96.19610472533579,187.82197407843256,0.0,0.0,66.19610472533577,30.0,-91.62586935309679,-91.62586935309679,3883.3788619612724,867.4880229300973,-5767.249653480095,6.270533402644679,-0.4662211858328459,4.15289664051828,7.535482854776465,-55.421426614364876,-57.22287949411886,643.058372023317,BPSK
5,14,170.30402455778892,0.2930641671464458,2899.4989042982065,23 Jun 2025 10:33:01.000000000,96.99397399824664,93.98367404160683,1e-30,96.19610472533579,187.8012695901599,0.0,0.0,66.19610472533577,30.0,-91.60516486482413,-91.60516486482413,3889.6470182735006,867.0213022199359,-5763.09349958162,6.26604445264495,-0.46722288245681887,4.1595735138263095,7.535493488905631,-55.361748247247434,-57.25307013828814,643.0368570841256,BPSK
6,14,170.30779549831482,0.3556421830758238,2892.5791669643295,23 Jun 2025 10:33:02.000000000,97.01472789785305,94.00442794121324,1e-30,96.19610472533579,187.7805156905535,0.0,0.0,66.19610472533577,30.0,-91.58441096521773,-91.58441096521773,3895.9106827120245,866.5535772522786,-5758.930671345746,6.261548234050159,-0.46822405089230423,4.166245615656605,7.535504135699783,-55.30206356956303,-57.283182770793786,643.0153200712155,BPSK
7,14,170.31160258920139,0.4183710099222631,2885.659458782606,23 Jun 2025 10:33:03.000000000,97.03553141747864,94.02523146083882,1e-30,96.19610472533579,187.7597121709279,0.0,0.0,66.19610472533577,30.0,-91.56360744559214,-91.56360744559214,3902.1698473733913,866.0848514026491,-5754.761173549852,6.257044752264475,-0.46922468541776446,4.172912938258011,7.535514795123617,-55.242372609265324,-57.313217791043805,642.9937610707996,BPSK
8,14,170.3154460313465,0.48125172560090823,2878.739789071608,23 Jun 2025 10:33:04.000000000,97.05638476705661,94.0460848104168,1e-30,96.19610472533579,187.73885882134994,0.0,0.0,66.19610472533577,30.0,-91.54275409601418,-91.54275409601418,3908.424504360399,865.6151280669167,-5750.585010979083,6.252534012703564,-0.4702247803238751,4.179575473884529,7.5355254671418015,-55.18267539381705,-57.343175595959565,642.9721801690389,BPSK
9,14,170.31932619740186,0.5442854367787474,2871.8201651854074,23 Jun 2025 10:33:05.000000000,97.07728816390797,94.06698820726815,1e-30,96.19610472533579,187.71795542449863,0.0,0.0,66.19610472533577,30.0,-91.52185069916283,-91.52185069916283,3914.6746476966177,865.1444020628375,-5746.402188416587,6.2480160197479595,-0.4712243435654614,4.186233214820722,7.535536151719005,-55.122971950645294,-57.37305657979946,642.9505774522514,BPSK
10,14,170.32324329385634,0.6074732417975522,2864.900596588124,23 Jun 2025 10:33:06.000000000,97.09824182047328,94.08794186383346,1e-30,96.19610472533579,187.69700176793327,0.0,0.0,66.19610472533577,30.0,-91.50089704259753,-91.50089704259753,3920.920269478917,864.6726767848106,-5742.2127106736,6.243490778840905,-0.4722233694291481,4.192886153313916,7.535546848819799,-55.06326230714308,-57.40286113418126,642.9289530068877,BPSK
11,14,170.32719752899766,0.6708162498356753,2857.9810927616136,23 Jun 2025 10:33:07.000000000,97.11924595060827,94.10894599396846,1e-30,96.19610472533579,187.67599763779828,0.0,0.0,66.19610472533577,30.0,-91.4798929124625,-91.4798929124625,3927.161361852833,864.1999556434663,-5738.016582540762,6.238958295406448,-0.47322185222201363,4.199534281661536,7.535557558408789,-55.00354649011623,-57.43258964834064,642.9073069193296,BPSK
12,14,170.3311892850367,0.7343155987680546,2851.061661286024,23 Jun 2025 10:33:08.000000000,97.14030077544443,94.13000081880462,1e-30,96.19610472533579,187.65494281296213,0.0,0.0,66.19610472533577,30.0,-91.45883808762635,-91.45883808762635,3933.3979188287176,863.7262334348972,-5733.813808842079,6.234418573865175,-0.47421979987620133,4.206177592135412,7.535568280450503,-54.94382452669275,-57.46224250876227,642.8856392762183,BPSK
13,14,170.3352187760596,0.7979724188169562,2844.142311805092,23 Jun 2025 10:33:09.000000000,97.16140651136323,94.15110655472341,1e-30,96.19610472533579,187.63383707704332,0.0,0.0,66.19610472533577,30.0,-91.43773235170755,-91.43773235170755,3939.629932535579,863.2515135695083,-5729.604394401362,6.229871619676431,-0.4752172066923453,4.212816077015139,7.535579014909441,-54.88409644351767,-57.49182009954586,642.8639501641849,BPSK
14,14,170.33928621805958,0.8617878512027358,2837.223054005682,23 Jun 2025 10:33:10.000000000,97.18256337611939,94.17226341947958,1e-30,96.19610472533579,187.61268021228716,0.0,0.0,66.19610472533577,30.0,-91.41657548695139,-91.41657548695139,3945.857395130071,862.7757994751306,-5725.388344035883,6.22531743829547,-0.47621406698874896,4.219449728607899,7.535589761750098,-54.824362266955575,-57.521322802340066,642.842239669879,BPSK
15,14,170.343392003143,0.9257630664354208,2830.3038956664145,23 Jun 2025 10:33:11.000000000,97.20377159484167,94.19347163820186,1e-30,96.19610472533579,187.5914719935649,0.0,0.0,66.19610472533577,30.0,-91.39536726822912,-91.39536726822912,3952.080300641074,862.2990859236916,-5721.165662589254,6.22075603415997,-0.47721038868012555,4.226078539206607,7.535600520936905,-54.76462202349643,-57.550750996189926,642.8205078801545,BPSK
16,14,170.34753635331245,0.9898992275310621,2823.384846640989,23 Jun 2025 10:33:12.000000000,97.2250313878645,94.21473143122469,1e-30,96.19610472533579,187.57021220054207,0.0,0.0,66.19610472533577,30.0,-91.37410747520627,-91.37410747520627,3958.2986412087203,861.8213763434198,-5716.936354911954,6.216187412760624,-0.47820616607741084,4.232702501100748,7.53561129243425,-54.70487573925211,-57.5801050577719,642.7987548818726,BPSK
17,14,170.35171955112446,1.054197515113974,2816.4659161629365,23 Jun 2025 10:33:13.000000000,97.24634297897657,94.23604302233676,1e-30,96.19610472533579,187.54890060943,0.0,0.0,66.19610472533577,30.0,-91.3527958840942,-91.3527958840942,3964.5124096291356,861.342671277773,-5712.700425849372,6.211611579234353,-0.4792013980324914,4.239321606608378,7.535622076206531,-54.64512344010963,-57.60938536134803,642.7769807619362,BPSK
18,14,170.35594182333844,1.1186591147607121,2809.547114219469,23 Jun 2025 10:33:14.000000000,97.26770659121138,94.25740663457157,1e-30,96.19610472533579,187.5275369971952,0.0,0.0,66.19610472533577,30.0,-91.33143227185941,-91.33143227185941,3970.7215980597707,860.8629741792533,-5708.457880263838,6.207028539088434,-0.4801960788753919,4.2459358480349225,7.535632872218075,-54.58536515213571,-57.63859227861686,642.7551856074823,BPSK
19,14,170.36020357581123,1.1832852422312992,2802.6284488732554,23 Jun 2025 10:33:15.000000000,97.2891224551337,94.27882249849388,1e-30,96.19610472533579,187.5061211332729,0.0,0.0,66.19610472533577,30.0,-91.3100164079371,-91.3100164079371,3976.9262005472888,860.3822797885446,-5704.2087230297575,6.202438296788463,-0.48119021649580834,4.252545217694096,7.535643680433171,-54.525600900771586,-57.667726179070996,642.7333695055403,BPSK
