,Access Number,Azimuth,Elevation,Range,Time,C/No,Eb/No,BER,EIRP,Free Space Loss,Xmtr Elevation,Xmtr Azimuth,Xmtr Gain,Xmtr Power,Rcvd. Iso. Power,Carrier Power at Rcvr Input,x,y,z,xVel,yVel,zVel,RelSpeed,Lat,Lon,Alt,Modulation
0,1,231.7827998954337,32.804022203819,1080.1857481848444,20 Jun 2025 12:00:00.000000000,105.57046411830785,102.56016416166804,1e-30,96.19610472533579,179.2247794700987,0.0,0.0,66.19610472533577,30.0,-83.02867474476294,-83.02867474476294,3589.978082677794,653.8301096316927,-5981.441650949381,6.460371528780213,-0.8404214602893915,3.78609955168861,7.53506856877133,-58.630051135834975,-78.34241366951001,644.0653037143107,BPSK
1,1,260.5058758365374,31.980884843562137,1096.9819124102298,20 Jun 2025 12:01:00.000000000,105.43644364223485,102.42614368559504,1e-30,96.19610472533579,179.3587999461717,0.0,0.0,66.19610472533577,30.0,-83.16269522083593,-83.16269522083593,3969.8730604228167,602.0808097380911,-5741.969469742417,6.198354063583833,-0.8839532469118906,4.193524532318281,7.535689380768527,-55.05931008719785,-80.28035671492025,642.8080593097603,BPSK
2,1,282.7612834380682,25.441727741497285,1273.012827814086,20 Jun 2025 12:02:00.000000000,104.14377737866053,101.13347742202072,1e-30,96.19610472533579,180.65146620974605,0.0,0.0,66.19610472533577,30.0,-84.45536148441028,-84.45536148441028,4333.26792013206,547.828102344936,-5478.560448443351,5.910452078941119,-0.9238273708307045,4.583637615312448,7.536354196629995,-51.46615280486097,-81.94188348824768,641.4735921895751,BPSK
3,1,296.4803547847496,18.10075970065535,1554.542317983622,20 Jun 2025 12:03:00.000000000,102.40838199820053,99.39808204156071,1e-30,96.19610472533579,182.38686159020602,0.0,0.0,66.19610472533577,30.0,-86.19075686487025,-86.19075686487025,4678.642805779688,491.29666723092254,-5192.303164478755,5.5978348626442695,-0.959875309882355,4.954804049847649,7.537055057006283,-47.855473521854805,-83.39766241159116,640.0810437139174,BPSK
4,1,304.8636130315034,11.868549239388967,1894.220730681836,20 Jun 2025 12:04:00.000000000,100.69182127166317,97.68152131502336,1e-30,96.19610472533579,184.10342231674338,0.0,0.0,66.19610472533577,30.0,-87.9073175914076,-87.9073175914076,5004.551449645167,432.72082990292404,-4884.3822128840575,5.261776864058927,-0.9919443620744255,5.305462938809503,7.537783917019524,-44.23065777718537,-84.69689123380181,638.6502973552842,BPSK
5,1,310.2971639471344,6.771927540077838,2264.9338575501492,20 Jun 2025 12:05:00.000000000,99.1393224993591,96.12902254271928,1e-30,96.19610472533579,185.6559210890475,4.5177454878451054e-06,133.30215604009416,66.19610472533577,30.0,-89.4598163637117,-89.4598163637117,5309.627359915729,372.3436077161587,-4556.073489865713,4.903653009215085,-1.019897822050353,5.63413418433603,7.538532510330578,-40.59414293702953,-85.87486727491019,637.2016664917309,BPSK
6,1,314.0432611436809,2.5063943532562143,2652.45339118298,20 Jun 2025 12:06:00.000000000,97.76747775292718,94.75717779628737,1e-30,96.19610472533579,187.02776583547939,0.0,0.0,66.19610472533577,30.0,-90.83166111014361,-90.83166111014361,5592.59050840665,310.4155268959579,-4208.7380104036365,4.524932540958763,-1.0436156620941428,5.939426101166989,7.5392924443623635,-36.94775531207454,-86.95760221256455,635.7555732017294,BPSK
7,1,315.94004564008424,1.0797803163364768e-06,2915.5342683459244,20 Jun 2025 12:06:39.906279128,96.94606997041669,93.93577001377687,1e-30,96.19610472533579,187.8491736179899,0.0,0.0,66.19610472533577,30.0,-91.6530688926541,-91.6530688926541,5767.956556012453,268.4945383783821,-3967.8946298520586,4.262403097852878,-1.0569937529971132,6.128888038017872,7.5398000334902315,-34.5177723530208,-87.63485750309829,634.8051332732439,BPSK
8,2,180.06387408815166,0.00017042441351061653,2951.6785125399,20 Jun 2025 13:30:54.436170633,96.83905190260006,93.82875194596025,1e-30,96.19610472533579,187.95619168580652,0.0,0.0,66.19610472533577,30.0,-91.76008696047074,-91.76008696047074,921.2193907604179,910.8034289969744,-6885.883623037917,7.458715381148452,-0.4860813471956962,0.9334419023543523,7.532597427059473,-79.30681117970425,-67.25677021443374,649.188507366492,BPSK
9,2,187.2717205213793,2.395112444374304,2695.8046602728637,20 Jun 2025 13:31:54.000000000,97.62666458263304,94.61636462599323,1e-30,96.19610472533579,187.16857900577352,0.0,0.0,66.19610472533577,30.0,-90.97247428043774,-90.97247428043774,1363.2982122870935,880.0084389225746,-6816.20767190787,7.38025461179438,-0.5475893832273488,1.4053294812923114,7.532792524590388,-76.56852459936025,-79.13412085220189,648.7738659062701,BPSK
